iteration,model.variant,D.1,D.2,D.3,D.4,D.5,D.6,D.7
1,None,0.21216444193542,0.189893889222228,0.455050487788409,0.478034457486183,0.820926870889434,0.110531745571869,0.400613834178027
1,Hard,0.0148820033230109,0.0197732715356802,0.0196990737907562,0.00623806546716978,0.000923181089224419,0.0060278552756085,0.0189329699466188
1,Soft,0.460176241080224,0.176456657947292,0.294829806635445,0.348840345970996,0.828786837667326,1.2736482838004,0.00470600364721412
1,Medium,0.15541368066704,0.101161051651975,0.182071671802558,0.121186550259247,0.377603463699802,0.561117453797587,0.00199731433735022
2,None,0.782966630637735,0.357071000776627,0.308518467589818,0.13240049284216,0.339010542320644,0.68811005592037,0.238936590012352
2,Hard,0.0220382036342663,0.0147590382741622,0.0124756306612599,0.011706643578132,0.00588464657724327,0.0122403955401009,0.0084408633509193
2,Soft,0.2411293057328,0.307531046550218,0.0511790530282371,0.225056508883328,0.561680922136977,1.41090287834983,0.419754836268832
2,Medium,0.07315970363121,0.110610301284481,0.0029074397850834,0.0995365824886157,0.272661258728397,0.546487916510815,0.16260412835879
3,None,0.201064197398937,0.13269826498807,0.0119553996019307,0.434650261472384,0.344078859898512,0.605888606785072,0.559815484659232
3,Hard,0.017015741041489,0.0148855035347204,0.0101955051489871,0.0026692195767193,0.000680328661397431,0.016440954096766,0.00963637618312427
3,Soft,0.468481620725655,0.217145722340089,0.104208107877746,0.369889506232605,0.544228191544202,1.24651842724676,0.0785687222277801
3,Medium,0.215710749697528,0.0830632785822664,0.10103038658996,0.155368400724657,0.26956454795727,0.511111736650643,0.0154544810305658
4,None,1.01034762348741,0.366368081270703,0.229677330091585,0.908018470870395,0.326905783917399,0.41201571861818,0.212125129963519
4,Hard,0.0274305755631991,0.0195232771536126,0.0146938742963803,0.00640832470488466,0.008921613757564,0.00934003978102738,0.0126949848911525
4,Soft,0.0996250235182336,0.353244456109552,0.0470080672141966,0.585991087572346,0.572261969781358,1.49173980082742,0.11880735649658
4,Medium,0.00139174501526683,0.14438600600145,0.0126878800710615,0.246204491174024,0.251393128878469,0.616643406584507,0.0284905474690178
5,None,1.5989610962071,0.374872167404116,0.337927551165759,0.683075510138043,0.755593502531932,0.719766740254167,0.0918208515581406
5,Hard,0.0233156641130714,0.00448725266611008,0.00357953049484879,0.0162416415675327,0.0186406749068414,0.00649265937879998,0.00148049842314463
5,Soft,1.16364498427816,0.176547497612705,0.178059257406567,0.310645254071492,0.244544176059693,1.00747935962618,0.110183956640926
5,Medium,0.478789424216849,0.0596445801935766,0.080050814049692,0.170300136811465,0.146868835624592,0.429438044970226,0.0532733264346203
6,None,1.10426490288011,0.169395288218508,0.735014199202844,0.147313274906938,1.13670203976722,0.263009285150205,1.18748302671125
6,Hard,0.0293370944071883,0.0102634016391826,0.0243950396852989,0.00969000867127915,0.0143417834491759,0.00184788797422877,0.033516179536576
6,Soft,0.0606299613591862,0.0445889744503823,0.474754781758792,0.230885819419163,1.01995661653777,1.82409609285717,0.562148882166495
6,Medium,0.00796523398961076,0.00369573258005779,0.239088686006496,0.0554847534495859,0.442116689241565,0.73878931561856,0.201471153519843
7,None,0.259504289338755,0.400572881711142,0.650523309316178,1.28225416403693,0.159724239749914,0.213883537561447,0.27085685707334
7,Hard,0.0137536845236728,0.0195851684624975,0.0163591466158481,0.0129423117926204,0.00541686425601097,0.00921577413730037,0.0174129295063969
7,Soft,0.393665997540166,0.286220695743804,0.419807694506466,0.84288630287332,0.304027282907677,1.40863408121611,0.012799031882219
7,Medium,0.176822225866205,0.126716876811908,0.190273625169528,0.299149536253079,0.128422486054126,0.557753755083334,0.0100501689164356
8,None,1.16229263236839,0.334949202453206,0.159087666516331,0.853544197262721,0.0115013462626687,0.0538991666011549,0.648767549558684
8,Hard,0.0321795533265678,0.0268541767012243,0.015515472171743,0.00907690634520328,0.0168671191752837,0.00807528000822382,0.0188307843083293
8,Soft,0.00406174425493472,0.277566422005206,0.201200718621511,0.6081572472706,0.495018987370479,1.60538398028607,0.141631043016172
8,Medium,0.00937167868141543,0.113369271279741,0.116505339388267,0.228953133907536,0.167077321325548,0.646245395100154,0.0422467591070857
9,None,0.752988289493516,0.452228774841661,0.723625427059448,0.136265849788335,0.195767901620085,0.308587560222952,0.821191335696659
9,Hard,0.0232264338076607,0.0242151066547112,0.00104943241941624,0.0078215722444,0.00252561387284691,0.00402426911877154,0.0351783666181506
9,Soft,0.543310292699351,0.34141087014082,0.284372459045714,0.158902096933867,0.6978228690837,1.70212947618279,0.162033866522159
